Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
17.48,-490,249,203,3503,985,7880,True,True
17.481,227,208,152,3874,1016,8192,True,True
17.519,-4,885,152,4695,1325,9777,True,True
17.522,-823,1564,-231,8296,288,11513,True,True
17.525,-1950,3067,383,5951,220,10416,True,True
17.61,-1720,4530,1351,5701,-745,10462,True,True
17.612,585,5341,1655,5757,-883,10275,True,True
17.615,2660,6010,2013,4842,-903,9503,True,True
17.617,4119,6663,2140,4078,-564,9277,True,True
17.655,5630,7531,2624,2858,-325,9000,True,True
17.657,6680,7828,2802,2171,209,9057,False,True
17.701,7730,8324,2573,1328,911,8987,False,False
17.702,7833,9200,2471,950,1468,8388,False,False
17.705,7577,9490,2114,198,1987,7584,False,False
17.79,6629,9515,2216,-569,2311,6912,False,False
17.792,5502,10101,1575,-1338,2760,6591,False,False
17.794,4196,9597,1886,-1746,2257,6026,False,False
17.835,3326,9118,2522,-2332,2345,4255,False,False
17.837,4324,8605,2803,-2911,2263,3773,False,False
17.88,5246,8176,2878,-3087,2431,3315,False,False
17.882,7295,7300,2956,-3167,3079,2877,False,False
17.884,10317,6688,2113,-3164,4214,2412,False,False
17.969,14030,6060,1094,-3111,6214,1556,False,False
17.972,15029,5282,-51,-3291,8497,1500,False,False
17.974,13031,4315,-815,-3109,9813,2901,False,False
17.977,7193,3663,-943,-2363,9179,3399,False,False
18.015,-2923,2472,-2344,-3586,9806,-320,False,False
18.017,-3128,-32,-3646,-4245,9442,-561,False,False
18.15,-874,-2024,-4102,-3822,7495,510,False,False
18.152,2429,-2933,-5019,-3615,6221,1281,False,False
18.154,4120,-4074,-5147,-3654,6384,2159,False,False
18.157,4094,-4545,-5325,-3840,7135,3048,False,False
18.239,2045,-5827,-5402,-3778,5031,4492,False,False
18.242,2173,-6182,-4993,-3189,4794,5207,False,False
18.245,2019,-5909,-4790,-3191,5355,5076,False,False
18.33,-55,-5140,-3593,-1900,3759,7347,False,False
18.332,-1207,-4248,-2830,-2063,3458,6833,False,False
18.335,-388,-4297,-2421,-3173,3907,5614,False,False
18.337,764,-4108,-2599,-2074,4370,6606,False,False
18.42,-951,-2793,-1427,-1853,4064,7889,False,False
18.422,-900,-1942,-1478,-2673,3744,7191,False,False
18.424,688,-1537,-1199,-2819,3568,7165,False,False
18.51,-1079,-619,50,-2945,3817,7004,False,False
18.512,-1617,-346,485,-3170,3208,6652,False,False
18.514,22,-454,280,-3538,3328,6687,False,False
18.517,995,-503,151,-3091,4021,6677,False,False
18.554,-541,67,382,-3677,4735,6013,False,False
18.558,-900,-189,380,-3608,4445,5394,False,False
18.599,-516,-107,329,-3784,4313,5622,False,False
18.602,-541,-404,382,-3783,4843,5655,False,False
18.604,-618,-355,510,-3485,4609,5850,False,False
18.69,-926,-553,178,-3483,4819,5735,False,False
18.692,-1438,-355,127,-3431,4381,5656,False,False
18.695,-1284,-379,152,-3259,4280,5577,False,False
18.697,-874,-635,24,-3151,4336,5679,False,False
18.78,-157,-660,484,-2717,4126,5961,False,False
18.782,-208,-322,380,-2577,4333,6018,False,False
18.87,22,-462,585,-2485,4173,6080,False,False
18.872,-29,-726,1503,-2232,3949,5834,False,False
18.874,175,-974,1757,-2344,3992,5722,False,False
18.878,-746,-1511,2190,-2276,4018,5622,False,False
18.915,-3717,-2801,2852,-2190,4355,5854,False,False
18.918,-5663,-2636,3542,-2198,4700,6645,False,False
18.96,-7661,-3132,3466,-1902,4472,7122,False,False
18.962,-8557,-2851,3261,-1807,4079,6781,False,False
18.964,-8480,-3380,2878,-2021,3475,6384,False,False
19.05,-8276,-4033,2699,-2222,2891,6222,False,False
19.052,-8429,-4570,3082,-2141,2654,6629,False,False
19.055,-7661,-4868,2342,-1617,2040,7564,False,False
19.057,-5689,-4644,1858,-1184,1370,7895,False,False
19.095,-1617,-4868,1885,-1490,1145,6999,False,False
19.097,-1771,-5264,2216,-1164,1540,7286,False,False
19.23,-2744,-5520,2012,-410,2003,8282,False,False
19.233,-2590,-5066,1681,58,2038,8806,False,False
19.235,-2718,-5000,1733,88,1683,8511,False,False
19.237,-1335,-4165,1529,1257,1820,8550,False,False
19.32,-1335,-4223,1529,1223,859,8152,False,False
19.322,-1156,-3942,1427,1537,1106,8296,False,False
19.325,-541,-3851,1171,2199,1486,8587,False,False
19.41,-413,-3132,1147,2611,1017,8668,False,False
19.412,-337,-2661,789,3291,1805,9087,False,False
19.455,-1002,-2495,482,3274,1434,8575,False,False
19.457,-695,-2404,584,2919,819,8191,False,False
