Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
4.184,-618,242,-77,2016,1498,8736,True,True
4.186,-848,647,-486,1955,1415,9345,True,True
4.189,-1309,663,-714,1951,1197,10000,True,True
4.192,-1693,2466,-2397,1862,633,10873,True,True
4.23,-1053,5773,-1630,1061,-466,10654,True,True
4.232,-208,6302,-1989,711,358,10245,True,True
4.32,-490,6691,-2040,701,1170,10631,True,True
4.321,-1514,7410,-1913,422,716,10320,True,True
4.324,-1079,7700,-1784,-224,201,9953,True,True
4.327,-823,8254,-2040,-578,427,9690,False,True
4.364,-2948,10072,-714,-1386,-379,9053,False,False
4.367,-3460,10106,-280,-2041,-526,8410,False,False
4.409,-4869,10444,177,-2168,-952,8539,False,False
4.411,-7840,11205,2344,-1785,-583,8350,False,False
4.414,-9351,11842,3465,-2091,-1574,6426,False,False
4.5,-9530,11801,4662,-3242,-3319,5373,False,False
4.502,-8813,11106,7314,-3579,-3494,4486,False,False
4.504,-7763,11429,8841,-3232,-2738,4668,False,False
4.507,-4920,11627,9836,-3062,-1418,3696,False,False
4.544,7039,10561,9811,-4358,1114,589,False,False
4.547,10497,9147,8129,-5070,4628,149,False,False
4.589,9447,9122,4893,-5335,10189,1502,False,False
4.591,5272,6757,813,-5748,12810,274,False,False
4.594,483,3913,50,-5334,6292,2845,False,False
4.679,3224,2896,280,-2477,-1830,2789,False,False
4.681,8781,2259,-3135,-3108,7144,-2133,False,False
4.683,6169,-2023,-6779,-7680,11346,-2134,False,False
4.686,-4638,-7076,-8130,-6015,7676,45,False,False
4.724,-13269,-10176,-10550,-3008,-106,5865,False,False
4.727,-16367,-7010,-11314,-1899,-1174,9623,False,False
4.769,-21105,-3910,-10194,-2928,-4208,9316,False,False
4.813,-24025,-1346,-8334,-6416,-3699,283,False,False
4.816,-26125,-1445,-8079,-3256,-2854,-1915,False,False
4.819,-22310,-2536,-7442,4540,-15476,-1492,False,False
4.86,19614,-3181,9071,-5835,-14323,1873,False,False
4.862,19793,-1387,11878,-2947,-5065,6068,False,False
4.904,12520,1259,12156,-3360,-829,5422,False,False
4.906,8064,2681,12106,-5344,-732,4312,False,False
4.909,7910,3466,11773,-6299,-1441,3861,False,False
4.949,10958,3690,11239,-6473,793,4170,False,False
4.951,11214,4087,9582,-3949,1047,3919,False,False
5.039,8935,3682,7059,-6878,6875,3973,False,False
5.042,6783,3318,4077,-6867,6057,3281,False,False
5.043,8371,2507,2063,-5814,2907,3639,False,False
5.084,-5355,-4256,-6704,-6737,5935,1590,False,False
5.087,-6329,-5463,-8590,-5640,3157,2598,False,False
5.128,-6841,-6017,-9965,-4733,1513,4288,False,False
5.131,-7763,-5364,-10143,-4600,-812,6330,False,False
5.134,-9325,-4223,-9659,-4655,-3174,7135,False,False
5.219,-10298,-2462,-8385,-6140,-4224,4874,False,False
5.221,-11041,-1445,-7085,-5874,-4526,4049,False,False
5.224,-12961,-974,-6014,-5414,-7546,2168,False,False
5.227,-12270,-296,-4102,-5143,-12189,2124,False,False
5.264,3736,-1924,4231,-6587,-11965,2215,False,False
5.266,7142,-2015,6676,-5567,-8207,3834,False,False
5.309,7296,-1743,8155,-5321,-6399,4379,False,False
5.311,6912,-916,9760,-5255,-5112,4113,False,False
5.313,8320,-453,10983,-4902,-2604,3501,False,False
5.399,9805,-726,10779,-5453,-122,3387,False,False
5.401,12008,-874,9710,-5183,1192,3748,False,False
5.403,13391,-221,8384,-4727,2584,4493,False,False
5.406,13698,448,7162,-4050,5101,5801,False,False
5.444,8474,391,3032,-4858,6937,4593,False,False
5.446,5247,-304,3312,-3884,2972,4177,False,False
5.492,2302,-130,3314,-2162,3022,2377,False,False
5.494,560,-1321,560,-4552,6796,882,False,False
5.495,-2820,-3925,-1402,-5509,7460,2274,False,False
5.58,-6662,-5389,-1988,-4506,5254,3268,False,False
5.582,-6943,-6257,-3417,-3822,3410,4126,False,False
5.624,-5407,-6951,-4000,-3740,2311,4829,False,False
5.626,-2846,-7332,-5199,-4014,1461,6237,False,False
5.629,-1668,-6207,-4817,-4804,-915,6376,False,False
5.759,5298,-9970,-4000,-5906,-305,2878,False,False
5.761,5938,-11144,-4027,-4228,742,3285,False,False
5.763,6092,-12111,-4384,-2938,1115,3983,False,False
5.766,4812,-12805,-4690,-1983,-96,8063,False,False
5.804,-1616,-9440,-1760,741,-40,11991,False,False
5.806,-2462,-7720,-255,867,-679,12099,False,False
5.852,-1719,-6431,-153,842,-1063,11030,False,False
5.856,74,-5570,49,517,-814,9750,False,False
5.984,1252,-4918,663,265,-21,9385,False,False
5.986,1917,-5066,331,287,253,9813,False,False
5.988,1610,-4752,100,714,623,10380,False,False
5.991,1533,-3901,25,923,941,10412,False,False
6.029,1149,-2363,458,1479,459,8946,False,False
6.031,1841,-2065,764,1618,589,8759,False,False
