Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
5.895,456,-275,-76,3057,602,7815,True,True
5.897,350,-91,-251,2566,624,7826,True,True
5.9,807,-401,-763,2947,863,8090,True,True
5.939,1152,241,-521,2962,1378,8645,True,True
5.941,2053,157,-1027,2960,1898,8951,True,True
5.984,2979,686,-2034,3241,2762,9548,True,True
5.987,3530,1924,-2624,3733,4496,9171,True,True
5.989,2698,2343,-3400,2612,5266,10729,True,True
6.029,1928,3178,-4382,1421,5340,10341,True,True
6.031,1277,3808,-5835,823,5829,9693,True,True
6.076,325,3833,-6986,242,5937,8753,True,True
6.079,-451,3678,-8620,-82,6333,7677,False,True
6.12,-1778,3556,-9766,239,6235,7048,False,False
6.122,-3305,2322,-10973,57,4884,6086,False,False
6.124,-3330,1391,-11443,203,3262,4773,False,False
6.164,-3180,-170,-11594,260,1771,4304,False,False
6.209,-3606,-1988,-10717,678,21,3993,False,False
6.211,-4808,-3746,-9195,625,-1166,1442,False,False
6.214,-5384,-6491,-6911,715,-3216,-1119,False,False
6.217,-5985,-8425,-6235,979,152,5070,False,False
6.255,-7579,-4573,3043,26536,-15610,15720,False,False
6.257,-1408,2410,5102,-581,-6594,3275,False,False
6.299,-3213,774,3455,-5994,5150,5511,False,False
6.345,3572,-3780,1076,2583,3824,5183,False,False
6.347,1115,-2290,1527,6390,3163,6865,False,False
6.349,-3381,-1203,1496,3191,3817,8891,False,False
6.353,-3531,-775,1396,1697,1361,10856,False,False
6.389,-4207,1487,1046,3019,-64,12937,False,False
6.391,-4582,2624,2164,3379,-2688,14049,False,False
6.435,-4833,4639,2729,3262,-3970,12364,False,False
6.438,-6110,6049,4287,3081,-6182,12625,False,False
6.44,-6786,7182,5708,2959,-7519,12334,False,False
6.479,-6291,7816,7061,2468,-7042,11938,False,False
6.482,-6135,7560,10402,1385,-9856,10754,False,False
6.569,-5376,9943,10666,1018,-9847,12821,False,False
6.571,-3801,8605,13120,1085,-7048,12953,False,False
6.574,-5103,9121,15816,3522,-4701,12636,False,False
6.614,-9727,10476,19054,1001,-2969,6381,False,False
6.617,-5659,9427,18478,-368,-422,5543,False,False
6.659,-3831,8588,17758,-1002,1190,5959,False,False
6.662,-3431,8189,16194,-549,3086,6185,False,False
6.665,-3280,7534,15474,-218,4332,4892,False,False
6.705,-2398,6905,14497,-2160,5306,2249,False,False
6.707,-1965,5650,11223,-3642,5373,1311,False,False
6.749,526,3909,9439,-3593,6042,2168,False,False
6.752,601,3078,7386,-2683,6950,1892,False,False
6.754,-195,2595,5133,-4272,5763,1177,False,False
6.795,-921,2121,3536,-4815,4858,1162,False,False
6.797,-1258,1244,1697,-4630,3336,2192,False,False
6.84,-150,182,400,-4605,2425,3164,False,False
6.884,676,-422,-276,-4849,2098,3443,False,False
6.886,701,-825,-521,-5587,1282,3239,False,False
6.89,1263,-1228,-1052,-6207,714,3562,False,False
6.892,1026,-1404,-1072,-6233,537,3891,False,False
6.93,901,-1581,-1258,-6404,432,4525,False,False
6.932,701,-1505,-927,-6710,641,4574,False,False
7.019,801,-1178,-370,-6701,646,4563,False,False
7.021,1051,-1052,-596,-6105,1385,4387,False,False
7.024,1953,-1354,-1553,-6046,347,3990,False,False
7.064,3731,-1962,-2830,-5715,2188,4546,False,False
7.068,8062,-4199,-7412,-4355,2644,3526,False,False
7.109,8318,-5316,-8389,-4059,3850,2985,False,False
7.154,6986,-5660,-8419,-3872,3821,2114,False,False
7.157,5634,-7070,-8439,-4548,2240,989,False,False
7.16,5928,-9286,-8864,-4631,1074,475,False,False
7.162,5759,-11375,-8458,-3456,1503,1381,False,False
7.199,-1322,-13768,-5403,-1556,973,1930,False,False
7.244,-1622,-15278,-4457,-1314,-2818,4887,False,False
7.246,1132,-16034,-3620,-700,-3908,5784,False,False
7.249,5533,-17091,-4252,-38,-3111,6528,False,False
7.252,7893,-17620,-3406,874,-1015,7565,False,False
7.289,6635,-16970,-1052,1452,488,8889,False,False
7.291,5233,-14926,-1628,2914,-300,10080,False,False
7.335,6254,-13768,-2760,4528,1574,11918,False,False
7.337,5934,-12408,-1578,5465,4438,14360,False,False
7.34,2598,-10419,-821,5904,4024,14647,False,False
7.38,851,-7548,-1227,6059,2563,15697,False,False
7.383,-1146,-4955,-1884,5810,1134,14795,False,False
7.424,75,-4577,-1102,4263,-1165,13305,False,False
7.426,1452,-3062,-1378,4540,-169,12711,False,False
7.43,1001,-1547,-2073,4747,617,12089,False,False
7.514,951,-1098,-2529,4437,481,11371,False,False
7.517,751,-649,-2079,3848,438,10538,False,False
7.519,-501,-141,-2084,3265,734,9936,False,False
7.56,-2529,409,-1453,2896,-462,8485,False,False
7.604,-2134,106,-1002,2448,-785,8092,False,False
7.607,-1052,-246,-671,2452,-621,8025,False,False
7.609,-476,-196,-752,3002,-17,8013,False,False
7.649,-927,56,-151,2991,829,8007,False,False
7.653,-1277,27,275,2994,744,7721,False,False
7.655,-1108,211,450,2930,756,7435,False,False
7.694,-100,81,350,2903,951,7600,False,False
7.697,131,6,475,3150,1578,7627,False,False
7.7,-206,237,150,1938,1124,7654,False,False
7.74,-771,333,75,2902,1615,7546,False,False
7.742,-45,157,400,2480,940,7542,False,False
7.784,-156,493,25,2912,1400,7903,False,False
7.787,-401,333,75,2678,1291,7646,False,False
7.789,-150,132,25,2729,885,7719,False,False
7.829,-150,413,230,2785,867,7778,False,False
