Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
32.251,-55,-123,1859,-914,764,7012,True,True
32.298,636,-759,2446,-1133,402,6354,True,True
32.385,765,-991,2751,-1135,382,5968,True,True
32.388,1149,-1867,2904,-1032,755,5986,True,True
32.39,1456,-2586,3082,-524,1397,6360,True,True
32.392,-208,-4488,3006,173,614,4990,True,True
32.43,790,-7372,4204,1242,456,5006,True,True
32.432,995,-8389,4509,1894,876,5589,False,True
32.475,1072,-8810,4866,2680,977,5578,False,False
32.477,304,-9678,5095,2810,583,4639,False,False
32.479,99,-10496,5324,2732,556,4602,False,False
32.565,304,-11290,5732,3564,546,5430,False,False
32.567,201,-12059,6216,4859,997,6029,False,False
32.57,-721,-12158,6162,5270,607,5956,False,False
32.572,-977,-12753,6802,5052,-91,5143,False,False
32.613,22,-13232,6827,8776,656,7696,False,False
32.614,304,-12547,6674,8317,638,6623,False,False
32.745,-337,-12679,6929,8017,341,6012,False,False
32.747,-1335,-12439,7412,9364,-117,6996,False,False
32.751,-1233,-11935,7565,10156,-341,7254,False,False
32.79,-337,-9877,8026,11341,5,7173,False,False
32.792,-1054,-5636,5273,9846,-6,7607,False,False
32.838,-516,-4471,4076,9106,-316,7034,False,False
32.84,-388,-3264,2573,8413,-708,4551,False,False
32.925,-3538,-2718,1552,7408,-580,334,False,False
32.929,-6483,-1421,841,8438,-3038,2726,False,False
32.97,-8916,324,126,8393,-2790,3027,False,False
32.971,-2411,-330,-305,7216,-3126,3327,False,False
32.975,-490,-330,-995,7930,-2083,2862,False,False
32.977,-1387,298,-510,7694,-1907,2779,False,False
33.015,-2667,546,128,7029,-2561,2494,False,False
33.018,-1643,265,203,7259,-3035,2241,False,False
33.105,-337,92,-77,7447,-2682,1938,False,False
33.15,252,497,-102,7561,-2453,1647,False,False
33.152,-490,315,-306,7753,-2358,1756,False,False
33.154,-1079,712,-333,7807,-2639,1764,False,False
33.195,-695,1092,-332,7642,-2351,2021,False,False
33.197,-1207,1183,-485,7730,-2845,1308,False,False
33.288,-900,935,-384,7657,-3102,1563,False,False
33.29,-593,861,-153,7768,-2915,2058,False,False
33.291,-439,1059,-102,7618,-2666,2453,False,False
33.295,-55,1282,-510,7862,-2319,2835,False,False
33.33,-1771,3043,-1784,8295,-2234,3353,False,False
33.375,-1617,3836,-2268,8483,-2397,3805,False,False
33.377,-874,4332,-2702,8624,-2389,4604,False,False
33.379,-132,4977,-3058,8911,-1921,5123,False,False
33.382,278,6118,-3184,9308,-1711,4736,False,False
33.466,-157,6539,-3082,8987,-1721,4365,False,False
33.467,-81,7018,-3056,8564,-1672,4117,False,False
33.469,534,7134,-3007,8558,-1646,5139,False,False
33.472,662,7754,-3033,8352,-1931,6094,False,False
33.509,1507,8324,-3337,8067,-792,5804,False,False
33.555,1456,8275,-3746,7805,-418,5129,False,False
33.56,1149,8374,-3644,7625,-434,5554,False,False
33.645,739,8572,-4000,7540,-577,6281,False,False
33.647,1507,8920,-4382,7178,-499,6551,False,False
33.65,2352,8771,-4586,6717,-11,5981,False,False
33.69,1635,9068,-4637,5339,138,6771,False,False
33.692,2404,9101,-4586,4660,274,6371,False,False
33.734,3197,8680,-4281,4143,464,6480,False,False
33.737,2609,8250,-3923,3818,721,7157,False,False
33.825,1635,8349,-3847,3204,732,7273,False,False
33.827,1251,8374,-3617,2757,1013,7028,False,False
33.829,381,8250,-3669,2075,474,6489,False,False
33.832,944,7085,-3287,1435,376,6363,False,False
33.916,227,6423,-2777,1064,1170,6615,False,False
33.917,-644,5944,-2420,297,823,6105,False,False
33.92,-823,5134,-2088,-274,825,5886,False,False
33.921,-798,3935,-1758,-287,1001,5711,False,False
34.005,-1258,3191,-1376,-138,830,5893,False,False
34.007,-567,2398,-1532,-859,263,6069,False,False
34.01,457,1299,-918,-721,1035,6833,False,False
34.012,-106,1059,-662,-305,2128,7945,False,False
34.05,-3025,1456,-714,-27,2125,8148,False,False
34.052,-3256,1580,-1097,-340,1136,7236,False,False
34.094,-2206,1125,-867,-427,712,6973,False,False
34.096,-1207,761,-536,-357,897,7351,False,False
34.099,-618,538,-688,-280,1034,7698,False,False
34.185,-746,365,-612,-221,1284,7801,False,False
