Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
3.831,-464,390,-714,3729,7053,6220,True,True
3.832,-669,663,-1071,3768,7557,6180,True,True
3.876,-1028,531,-1530,3198,7293,5849,True,True
3.879,-1207,712,-2013,2728,6786,5735,True,True
3.882,-618,638,-2932,2620,7063,5939,True,True
3.92,-541,589,-3567,2405,7503,7299,True,True
3.92,-1053,745,-4027,2532,7330,6792,True,True
3.966,-2359,737,-4281,2357,7272,7100,True,True
3.968,-3896,944,-4588,2204,6961,6956,True,True
4.011,-5100,787,-4612,1949,6316,6959,True,True
4.011,-5842,1208,-4739,1781,5844,6736,False,True
4.011,-6278,829,-4970,1445,5159,6561,False,False
4.057,-5919,713,-4636,1165,3976,6811,False,False
4.058,-5560,837,-4382,828,4295,6657,False,False
4.101,-6303,663,-4306,1262,3981,7101,False,False
4.103,-7353,613,-3081,796,4009,7805,False,False
4.106,-7814,993,-2930,1117,3876,7803,False,False
4.146,-7789,589,-2371,1023,3443,7432,False,False
4.146,-7814,341,-2040,1099,3077,7644,False,False
4.191,-7712,217,-1249,1143,2309,7295,False,False
4.194,-7993,192,-281,959,1531,7245,False,False
4.194,-7635,-139,943,845,760,6443,False,False
4.227,-6790,-379,1452,892,15,6328,False,False
4.237,-5279,-758,2089,1194,-43,6339,False,False
4.282,-4895,-1155,2826,1086,-65,6503,False,False
4.282,-5663,-1296,3770,1400,76,7000,False,False
4.282,-8531,-502,3643,1882,1156,9706,False,False
4.326,-8685,-197,3999,1394,1737,8478,False,False
4.328,-7558,-1288,3617,1109,438,9229,False,False
4.365,-6969,-1817,3694,1356,-1670,11039,False,False
4.375,-7942,-676,3796,1505,-3013,12900,False,False
4.375,-10298,-56,5425,1981,-4763,13739,False,False
4.411,-10529,357,8278,2339,-8211,14819,False,False
4.411,-7276,1010,10700,1433,-9757,13781,False,False
4.461,-4178,3291,8558,2622,-4726,14311,False,False
4.463,-695,3961,10292,4181,-2895,12209,False,False
4.465,1431,3746,10928,2816,-2544,9579,False,False
4.506,1917,5498,11184,1016,-1745,9418,False,False
4.507,-925,6854,14191,-645,-629,6129,False,False
4.551,-5560,6399,12661,210,48,1165,False,False
4.554,-2820,3614,9273,1865,3228,1848,False,False
4.556,2481,2887,5859,2421,6023,3943,False,False
4.595,3480,3126,4636,841,7065,4664,False,False
4.595,1226,2630,2827,-544,6785,5009,False,False
4.641,-106,3671,2317,-1020,4077,4434,False,False
4.643,-2001,3448,1834,-2280,2204,4187,False,False
4.644,-2436,2895,2012,-2610,663,4335,False,False
4.681,-1105,2903,1068,-2646,-427,4097,False,False
4.681,99,2225,510,-2409,-1196,4492,False,False
4.732,1431,1878,-383,-2093,-1292,4669,False,False
4.733,1610,1729,-739,-2143,-1131,5013,False,False
4.736,1252,1464,-561,-2097,-1180,5229,False,False
4.774,765,861,-586,-2076,-1355,5509,False,False
4.779,1072,531,-789,-1963,-1258,5511,False,False
4.857,2097,663,-1402,-1753,-778,5549,False,False
4.867,2814,316,-1553,-1509,-445,5517,False,False
4.867,2660,291,-2191,-1546,-221,5533,False,False
4.874,2327,-205,-2446,-1792,-84,5843,False,False
4.908,3454,-1279,-3874,-2019,412,6278,False,False
4.956,3736,-1296,-3975,-2285,435,6852,False,False
4.958,3556,-1122,-4535,-2606,671,6804,False,False
4.962,3505,-1767,-4535,-2358,586,6126,False,False
4.996,4043,-2478,-4714,-2660,31,6834,False,False
4.996,4376,-3032,-4892,-2833,-325,7330,False,False
5.044,4427,-3280,-5096,-2715,-444,7014,False,False
5.044,4914,-3528,-4714,-2333,-428,6548,False,False
5.044,5195,-3924,-4152,-1811,-725,7028,False,False
5.091,5196,-4693,-3873,-2046,-720,7231,False,False
5.093,5580,-4536,-3082,-1440,-786,7690,False,False
5.136,6194,-4520,-2905,-1428,-663,7767,False,False
5.141,6501,-4743,-2293,-1077,-346,7540,False,False
5.144,7039,-4892,-1402,-582,102,7585,False,False
5.179,7142,-5346,-867,-515,812,7603,False,False
5.227,7756,-5164,-408,-447,1499,8021,False,False
5.229,7731,-4470,-49,186,2426,9825,False,False
5.271,6553,-5338,585,1443,3205,8766,False,False
5.272,5528,-3999,1477,917,3670,8579,False,False
5.275,4837,-4445,1808,1751,3266,8284,False,False
5.312,7500,-3486,2318,1268,3388,6921,False,False
5.312,7500,-2685,2216,1164,3851,7832,False,False
5.361,6963,-1685,1757,1654,4105,8218,False,False
5.363,6399,-2213,2165,1951,4605,8511,False,False
5.363,5682,-1668,2548,1763,5088,8201,False,False
5.405,4248,-1718,3132,1515,4553,7387,False,False
5.409,4017,-1966,3668,1603,4320,7136,False,False
5.451,4120,-2461,3109,2061,5095,7527,False,False
5.454,4734,-2238,2369,2677,6202,7834,False,False
5.456,3736,-1850,2573,2449,6370,7769,False,False
5.497,2711,-2164,2624,2190,6248,7519,False,False
5.497,2762,-1701,2038,2477,6240,7221,False,False
5.533,2225,-2015,1477,2706,6524,7307,False,False
5.543,1841,-1966,839,2890,6508,7423,False,False
5.58,1559,-2065,484,3064,6442,7296,False,False
5.58,1456,-1519,229,3215,6238,6865,False,False
5.59,1175,-1594,-51,3269,6386,6622,False,False
5.629,842,-1618,-305,3508,5656,6332,False,False
5.629,688,-1494,-841,3641,6112,6381,False,False
5.676,330,-1494,-994,3854,5836,6132,False,False
5.679,-208,-1502,-1250,3927,5700,6080,False,False
5.679,-234,-1321,-1096,3865,5566,5849,False,False
5.723,-387,-1453,-1481,3832,5322,5693,False,False
5.726,-413,-1172,-1225,3851,5125,5645,False,False
5.766,-541,-1197,-1251,3774,4961,5626,False,False
5.768,-413,-1230,-790,3599,4938,5863,False,False
5.771,-490,-907,-562,3487,4884,5469,False,False
5.809,-746,-478,-612,3399,4982,5410,False,False
