Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
49.382,714,316,229,2885,1693,7743,True,True
49.385,1021,184,205,2590,2159,8322,True,True
49.43,381,721,25,2561,2542,8904,True,True
49.435,381,936,25,2961,2442,9242,True,True
49.438,1457,1548,-691,2887,2488,9453,True,True
49.478,4094,2805,-1299,2408,3108,9377,True,True
49.482,5375,3400,-2167,2500,3901,9992,True,True
49.527,6399,4417,-3059,2784,4707,10274,True,True
49.53,7577,5277,-3975,2802,5105,9815,True,True
49.534,9088,6071,-5277,2054,5232,8921,True,True
49.576,11905,6559,-7392,1507,6832,7634,False,True
49.579,13160,6542,-8946,1244,8020,7311,False,False
49.624,13544,6195,-10475,1114,8831,7164,False,False
49.626,13211,5724,-11852,2422,8948,5621,False,False
49.673,12494,5285,-13125,517,9949,5802,False,False
49.676,11367,3590,-13991,-303,8676,3924,False,False
49.678,12341,2524,-14858,-711,8440,2571,False,False
49.684,13775,1184,-16081,-968,8645,2727,False,False
49.722,13109,-213,-16489,-1134,8628,3206,False,False
49.724,10932,-1379,-16108,-1460,7749,2801,False,False
49.771,8679,-2139,-15240,-1399,6758,2092,False,False
49.774,6732,-2735,-14756,-1260,6264,2883,False,False
49.776,4248,-2933,-13737,-1437,5336,3246,False,False
49.819,2558,-3107,-12052,-2149,3640,2132,False,False
49.822,2532,-3380,-11265,-2303,2890,2025,False,False
49.868,2711,-3504,-10118,-2537,2063,2490,False,False
49.87,2660,-2868,-8486,-2925,2405,2881,False,False
49.873,2660,-3032,-7646,-3356,2124,3118,False,False
49.917,2174,-2916,-5658,-3491,2171,3660,False,False
49.919,1175,-1908,-4409,-4212,2105,3861,False,False
49.966,-29,-1867,-3569,-4986,2366,3377,False,False
49.968,74,-1676,-2396,-5035,1421,3865,False,False
50.015,1021,-651,-1173,-5588,1157,3848,False,False
50.017,1329,-31,25,-5610,1366,5180,False,False
50.019,304,589,1249,-6052,1066,5412,False,False
50.022,-541,1284,2421,-6050,1280,5164,False,False
50.063,-362,1854,3389,-5850,518,4645,False,False
50.067,919,2342,4203,-5830,409,4711,False,False
50.112,1841,3425,5173,-5980,942,5066,False,False
50.117,2148,4235,5988,-5731,1386,4806,False,False
50.119,2302,4930,6702,-5483,1594,4155,False,False
50.161,3198,5691,7441,-5357,1952,3459,False,False
50.165,3813,6567,8027,-4928,2703,3229,False,False
50.209,4274,7212,8333,-4296,3389,2338,False,False
50.211,4991,8162,8664,-3766,3812,1560,False,False
50.215,5887,8700,8946,-3391,4182,1452,False,False
50.257,4555,9370,9454,-2622,6850,-357,False,False
50.26,2814,9362,9020,-1831,6406,-1632,False,False
50.306,6604,8683,9277,-1142,6792,-5600,False,False
50.404,12725,9875,7743,458,7936,-4590,False,False
50.406,15747,11230,6804,-2161,10153,-3418,False,False
50.409,1457,9939,6273,-1011,9011,-3485,False,False
50.411,-3,7510,8409,-676,8006,-7162,False,False
50.453,-746,4376,4079,328,8580,-5251,False,False
50.502,-823,3739,3134,289,8673,-5535,False,False
50.504,-362,2764,2190,462,8333,-5371,False,False
50.506,-1002,1929,1987,752,8369,-5240,False,False
50.509,-1898,1242,1325,900,8786,-5033,False,False
50.55,-4177,200,688,814,8657,-4728,False,False
50.552,-4946,-990,461,1011,8358,-4801,False,False
50.599,-4997,-1445,-357,926,8086,-4348,False,False
50.602,-6073,-2313,-560,1096,8887,-3583,False,False
50.604,-8301,-2834,-1096,1428,8993,-2611,False,False
50.649,-12424,-3082,-1173,1481,8984,-1690,False,False
50.651,-14088,-3561,-1352,1450,8834,-1417,False,False
50.698,-16239,-3107,-1020,973,7890,-646,False,False
50.7,-17161,-3008,-612,132,7445,-355,False,False
50.702,-17699,-3008,-460,-139,7959,346,False,False
50.746,-19466,-3198,-26,-581,8023,1398,False,False
50.75,-20106,-3215,127,-1225,7465,1687,False,False
50.794,-25664,-2040,-612,1871,2732,902,False,False
50.799,-28814,598,-280,-9,3468,956,False,False
50.802,-32764,-7547,-2659,979,6639,-4246,False,False
50.843,-22895,3290,3586,-1210,2889,5353,False,False
50.845,-6149,-2363,-3122,-1315,2872,6437,False,False
50.892,-10657,-5761,3211,-611,2470,6760,False,False
50.894,-12424,-3901,-283,-222,1905,6074,False,False
50.898,-8454,-3305,1885,-504,825,5953,False,False
50.94,-4638,-3851,993,-506,409,6950,False,False
50.944,-3256,-4231,1222,241,686,8112,False,False
50.989,-2667,-3645,1606,928,1130,8335,False,False
51.038,-2564,-3578,2013,834,1646,8077,False,False
51.04,-2923,-3636,1936,641,1748,8138,False,False
51.042,-3384,-3429,2470,1330,1644,8709,False,False
51.045,-3153,-3132,2572,1897,1384,8833,False,False
51.089,-1053,-2214,1935,1699,1218,8460,False,False
51.093,-157,-2040,1936,1633,1624,8466,False,False
51.136,22,-1809,1834,1810,1521,8201,False,False
51.139,125,-1693,1885,2302,1275,8588,False,False
51.141,816,-1594,1681,2056,1504,8519,False,False
51.185,1661,-1090,1248,1857,1295,8461,False,False
51.188,1790,-1222,1197,1824,1337,8574,False,False
51.234,1252,-809,1428,1988,1588,8515,False,False
51.237,407,-1098,1453,1989,1398,8302,False,False
51.24,304,-1247,1019,2252,1137,8189,False,False
51.282,1303,-800,891,2403,1355,8172,False,False
51.285,1201,-1056,739,2324,1618,8127,False,False
51.333,1175,-693,560,2535,1721,8319,False,False
51.336,330,-651,535,2648,1720,8298,False,False
51.338,-362,-808,534,2674,1309,8044,False,False
