Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
4.302,94,407,331,4733,4260,5762,True,True
4.35,69,785,350,4692,4199,5966,True,True
4.353,501,1339,701,4838,4135,6341,True,True
4.356,952,2536,1238,4782,4118,6541,True,True
4.394,2855,3686,851,5273,4675,7467,True,True
4.396,3757,4563,726,5507,5172,8640,True,True
4.439,4102,6104,150,5640,5741,9690,True,True
4.442,4057,7355,-407,5259,6209,10947,True,True
4.444,3562,9148,-521,4975,6424,12065,True,True
4.481,3456,11213,-1378,5077,7074,13043,True,True
4.481,3231,13253,-1979,5233,7117,12842,False,True
4.529,2866,13652,-2054,4506,6353,10467,False,False
4.532,3757,16729,-2160,3869,5321,9170,False,False
4.534,5761,17304,-3212,2582,5127,7150,False,False
4.572,7709,17308,-4559,1655,5350,5367,False,False
4.572,9518,16754,-5861,1171,5705,4129,False,False
4.619,10094,15894,-6989,800,6170,3389,False,False
4.664,9467,15369,-7709,907,7108,2853,False,False
4.666,7138,14387,-7965,1203,8245,1926,False,False
4.668,3851,13635,-7434,1374,8434,869,False,False
4.707,1934,9324,-8066,-631,8455,-2653,False,False
4.707,1208,6855,-8536,-1519,8739,-3277,False,False
4.753,-25,3657,-9093,-1779,8309,-3291,False,False
4.756,-952,1163,-9218,-1562,8139,-3146,False,False
4.759,-2129,-1708,-9468,-1651,7837,-2941,False,False
4.799,-3432,-4223,-9593,-1897,7568,-2883,False,False
4.802,-5090,-6872,-9844,-1995,7083,-2726,False,False
4.845,-5911,-9088,-10295,-2071,5994,-2083,False,False
4.847,-6813,-10956,-10776,-2072,5020,-1256,False,False
4.849,-6983,-12262,-11127,-1596,4139,-131,False,False
4.889,-5435,-12715,-11728,-1374,2883,682,False,False
4.889,-7164,-12413,-12123,-1146,2078,2216,False,False
4.934,-7890,-12010,-12529,-1119,641,6008,False,False
4.979,-10475,-9915,-11617,-1990,431,8153,False,False
4.981,-13551,-7501,-9794,-750,-3675,9065,False,False
4.984,-13876,-3623,-5887,-893,-9921,9538,False,False
5.024,7063,-650,2382,-9989,-14189,19155,False,False
5.027,6070,2951,3155,-6385,-12408,14225,False,False
5.064,9223,3695,5510,-4927,-7491,11168,False,False
5.064,7489,3984,7650,-3684,-3312,7512,False,False
5.074,5947,7485,9768,-4613,-2685,7872,False,False
5.114,2705,10369,13205,-3106,-1647,5228,False,False
5.117,1155,8354,16046,-3934,-1763,1699,False,False
5.16,3682,9702,15387,-3893,-1088,1362,False,False
5.161,5429,10155,13650,-4056,831,1193,False,False
5.165,8766,8870,11627,-3586,3238,836,False,False
5.204,11841,7733,8936,-2535,6858,336,False,False
5.207,12949,7107,6617,-1497,11253,-389,False,False
5.25,11441,6478,4333,-1482,15042,-103,False,False
5.252,6787,4815,3242,-1685,16119,-1128,False,False
5.254,1873,2775,520,-861,16639,-2200,False,False
5.292,-2260,-222,-1353,-1807,15558,-2800,False,False
5.298,-4358,-2968,-2530,-3480,12622,-2698,False,False
5.377,-5756,-5843,-4910,-4205,10984,-2523,False,False
5.387,-6062,-7879,-6958,-4069,9214,-2388,False,False
5.387,-5324,-9563,-9168,-4061,8065,-1647,False,False
5.387,-4208,-12287,-11647,-3506,6041,-936,False,False
5.428,-1829,-15259,-13676,-1853,769,3345,False,False
5.43,-2090,-12539,-12900,3208,5268,1700,False,False
5.467,-4083,-13219,-11447,-902,-5761,11316,False,False
5.476,-11302,-8643,-7214,1203,-6504,14275,False,False
5.476,-15053,-3299,-1378,-1246,-12817,12709,False,False
5.518,-12148,-1280,3556,-4931,-15681,12109,False,False
5.521,-2380,-978,4708,-5689,-15658,9434,False,False
5.563,11048,-1616,4052,-3282,-10442,11094,False,False
5.563,19592,42,4438,-4293,-4605,6685,False,False
5.654,21145,-276,2785,-2816,-615,2062,False,False
5.654,20238,1754,5051,-1663,-2881,14316,False,False
5.654,14101,1768,6487,-2806,5215,1760,False,False
5.661,8340,5260,8540,-4084,4950,1788,False,False
5.7,-1258,4563,8159,-2989,6684,1090,False,False
5.703,-1954,1969,6988,-3942,9060,337,False,False
5.745,-2630,-1150,6943,-5307,9226,-247,False,False
5.747,-2906,-4374,6617,-5836,7757,117,False,False
5.789,-1403,-6998,4903,-4794,6876,645,False,False
5.791,-226,-8282,3531,-2647,7919,351,False,False
5.793,-1578,-10595,2780,-1915,7792,2511,False,False
5.835,-2079,-12161,3236,-1796,5893,2713,False,False
5.837,-2580,-12892,2304,-1743,4602,3637,False,False
5.915,-4164,-12560,2053,-750,3489,4152,False,False
5.925,-5115,-11506,2454,474,2361,6077,False,False
5.925,-5536,-10574,2128,1249,1755,7649,False,False
5.925,-5736,-10121,1728,635,2429,8795,False,False
5.97,-4253,-9491,3055,2223,2098,6668,False,False
5.973,1258,-10045,1828,5076,2704,5343,False,False
6.015,4728,-9059,1352,5315,3353,9975,False,False
6.016,6462,-8689,2034,5248,3323,10898,False,False
6.02,6337,-6725,2874,3848,3038,9996,False,False
6.057,5184,-4932,3751,4214,3442,9043,False,False
6.057,4383,-3547,4708,4669,4098,8530,False,False
6.104,3225,-2464,4953,5448,5527,8662,False,False
6.106,2003,-1733,4038,5924,6654,8133,False,False
6.109,1277,-1834,3506,5129,5725,7289,False,False
6.149,1878,-1935,2730,4734,4228,6154,False,False
6.152,3256,-2183,1984,4215,3666,6487,False,False
6.185,2379,-2011,926,5081,4476,7155,False,False
6.196,595,-1658,1252,5122,4947,7450,False,False
6.196,-1077,-1536,2510,5280,4612,7081,False,False
6.274,-1603,-1179,2966,5089,4666,6317,False,False
