Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
44.068,945,-304,-26,3115,1988,7875,True,True
44.117,2174,-105,-255,3287,2336,8187,True,True
44.119,2840,465,-690,3662,3250,8883,True,True
44.122,5221,2375,-2344,4370,4499,8487,True,True
44.165,11572,4509,-6958,4245,8441,8041,True,True
44.168,12341,4558,-8460,3588,9151,7107,True,True
44.225,12725,4260,-10194,2769,9125,6226,True,True
44.228,13288,4020,-11494,2114,9087,5875,False,True
44.229,13365,3087,-12870,1688,9905,5695,False,False
44.362,12699,2070,-15037,1401,10339,5301,False,False
44.412,11905,1301,-15264,831,8967,4748,False,False
44.484,11086,705,-15954,131,8094,3730,False,False
44.531,11444,-80,-16209,-339,9099,3548,False,False
44.535,10241,-1155,-16667,-568,9171,4156,False,False
44.536,6579,-1337,-16030,-795,7229,3538,False,False
44.543,5810,-1966,-15673,-1026,6552,3013,False,False
44.544,5324,-2313,-15342,-1598,5950,2675,False,False
44.545,4120,-2792,-14374,-1716,5143,2690,False,False
44.546,3480,-2734,-13456,-1993,4535,2443,False,False
44.548,2686,-2561,-12029,-2788,3259,2416,False,False
44.55,2532,-3015,-10424,-2847,2728,1911,False,False
44.551,2328,-3065,-9021,-2788,1958,2450,False,False
44.557,1969,-2454,-7416,-2758,1493,2575,False,False
44.559,1354,-2420,-5657,-3378,2119,2521,False,False
44.561,689,-2097,-4053,-4338,1714,2468,False,False
44.562,1226,-2065,-2600,-4371,1669,2755,False,False
44.608,1252,-1610,-1453,-4497,2696,2824,False,False
44.609,842,-1345,-841,-5150,2828,3074,False,False
44.61,535,-924,231,-5534,2990,3459,False,False
44.652,3096,-386,483,-5346,1697,4212,False,False
44.655,4760,465,1350,-5661,2018,4754,False,False
44.7,4376,1582,1936,-6068,2612,5128,False,False
44.704,3531,2673,2573,-6008,2598,5433,False,False
44.706,2686,3789,3440,-5806,2279,5483,False,False
44.749,2507,5575,4510,-5563,2355,5009,False,False
44.752,2660,6493,4891,-5664,2667,4297,False,False
44.848,2660,7179,5581,-5718,2737,3887,False,False
44.849,2174,8080,6474,-5524,3069,3632,False,False
44.852,2276,8949,7084,-4970,3004,3320,False,False
44.855,2507,10685,8155,-2606,3960,3227,False,False
44.896,5247,10215,10271,-1644,7431,-6292,False,False
44.898,12649,11245,7951,1354,7174,-8644,False,False
44.945,14542,8552,5198,501,6054,-4392,False,False
44.947,6579,10504,6627,-213,7690,-5813,False,False
44.949,7577,11107,4663,558,7789,-7659,False,False
44.994,1047,10222,4612,929,7826,-6110,False,False
44.997,-669,9610,3922,1250,6558,-7443,False,False
45.042,-80,8080,4102,972,7163,-9316,False,False
45.044,1175,6096,3542,887,7442,-8568,False,False
45.047,202,4352,2701,931,7754,-7324,False,False
45.091,-1488,3144,2064,577,8065,-6931,False,False
45.093,-1668,1698,1681,463,7436,-7014,False,False
45.14,-1283,713,1172,450,7547,-6617,False,False
45.142,-1335,-105,840,300,7831,-5821,False,False
45.144,-2026,-345,458,303,8092,-5318,False,False
45.19,-1847,-1453,-25,679,8117,-5738,False,False
45.191,-2128,-1982,-969,776,8363,-5774,False,False
45.241,-3767,-2933,-1555,1685,8244,-4803,False,False
45.244,-5560,-2809,-1912,1583,8287,-4003,False,False
45.246,-7532,-3107,-2167,1526,8360,-3636,False,False
45.286,-9709,-3471,-2472,1190,7718,-3537,False,False
45.289,-12091,-3636,-2396,1592,7619,-2958,False,False
45.335,-14319,-3206,-1963,870,7928,-2150,False,False
45.34,-16803,-2677,-1298,18,7960,-1653,False,False
45.342,-18928,-2983,-788,-1093,7235,-919,False,False
45.383,-20670,-3057,-77,-619,6515,-177,False,False
45.386,-22616,-2618,740,-1159,6217,769,False,False
45.482,-24793,-1139,-129,206,3645,-184,False,False
45.484,-19185,-730,1591,-1627,4404,-3725,False,False
45.487,-27226,-4793,-1311,-2139,5178,2815,False,False
45.489,-19466,-3355,1580,-2095,3181,3118,False,False
45.53,-11476,-4653,1678,-1591,3448,7418,False,False
45.533,-10400,-4694,2857,-860,2728,7181,False,False
45.579,-9376,-4885,2572,-1054,1900,6605,False,False
45.582,-7711,-5297,3543,-955,1536,6506,False,False
45.584,-5893,-5066,2851,-643,1571,7002,False,False
45.628,-3280,-5007,2497,2830,2795,8302,False,False
45.63,-1079,-5116,3085,1358,2978,8540,False,False
45.676,-1821,-3999,3058,1168,3444,8649,False,False
45.678,-2794,-3173,2982,829,3350,8434,False,False
45.681,-3230,-3255,3134,1114,2856,8269,False,False
45.725,-2026,-2834,2828,1742,2311,8522,False,False
45.727,-182,-2090,2191,1699,2502,8780,False,False
45.773,-29,-1874,2395,1678,3175,8886,False,False
45.776,-1181,-1701,1910,1621,2847,8829,False,False
45.778,-1207,-1395,2191,1771,2196,8570,False,False
45.823,-182,-899,1604,2036,2010,8423,False,False
45.826,-182,-651,1297,1837,2455,8389,False,False
45.872,-1181,-932,1732,1904,2289,8417,False,False
45.874,-1514,-676,1605,2229,1694,8302,False,False
45.877,-822,-114,1325,2328,1410,8177,False,False
45.921,637,-65,1249,2304,1569,8053,False,False
45.924,893,-411,1019,2396,1920,8243,False,False
45.993,612,-130,635,2598,1905,8395,False,False
45.994,765,-80,586,2714,1557,8332,False,False
45.995,842,68,535,2765,1366,8079,False,False
