Time,Ang_X,Ang_Y,Ang_Z,Accel_X,Accel_Y,Accel_Z,Rest,Rest_Shift
33.197,74,581,-102,3168,1911,7439,True,True
33.199,381,763,-255,3123,1822,7553,True,True
33.201,816,879,-281,3026,2019,7605,True,True
33.245,1534,1102,-613,2996,2366,7975,True,True
33.247,1918,1656,-765,3030,2505,8064,True,True
33.307,2967,1805,-1020,3084,2668,8112,True,True
33.308,3787,2127,-1350,2828,2989,8169,True,True
33.309,5016,2062,-1912,2512,3494,8557,True,True
33.346,5990,2963,-2778,2620,4158,9083,True,True
33.347,6143,3797,-3466,2340,4783,8951,True,True
33.396,7552,3880,-4538,2210,4999,8337,False,True
33.397,9754,4814,-5401,1868,5624,7764,False,False
33.398,11931,4707,-7315,1204,7107,7582,False,False
33.441,11368,4459,-8767,452,9032,7817,False,False
33.442,10215,4508,-9505,512,8594,7283,False,False
33.489,10548,4516,-10882,218,8098,6331,False,False
33.492,11572,4087,-12106,-631,7302,5852,False,False
33.494,12264,3797,-12717,-1394,7789,5110,False,False
33.54,13186,2102,-13916,-1697,8254,4157,False,False
33.542,12904,1160,-14374,-2046,7638,3749,False,False
33.589,12315,341,-14323,-2600,7195,3127,False,False
33.592,12187,-593,-14783,-2814,7456,2595,False,False
33.594,11367,-1593,-14398,-2805,6903,2459,False,False
33.684,9703,-2602,-13839,-2902,5926,2033,False,False
33.69,8371,-3148,-12947,-3071,5232,2019,False,False
33.693,7142,-3759,-12258,-3038,3634,1761,False,False
33.734,3505,-4198,-8359,-3856,3407,2405,False,False
33.74,3019,-3587,-7162,-3943,2895,2377,False,False
33.782,3044,-3975,-5811,-3871,2403,2730,False,False
33.785,2532,-3429,-4511,-4070,2695,3443,False,False
33.791,842,-2991,-3213,-4638,3264,3443,False,False
33.83,-541,-1834,-1375,-4852,2184,3442,False,False
33.832,663,-1510,-587,-4618,1191,2588,False,False
33.879,2686,2,254,-5579,1845,3788,False,False
33.881,1943,217,942,-5767,3521,3853,False,False
33.884,1201,1217,1376,-5928,2963,3583,False,False
33.928,5042,2507,2038,-5464,1050,3739,False,False
33.93,7091,3219,2395,-5707,1751,4461,False,False
33.977,6527,4632,3083,-5619,2670,4652,False,False
33.979,4760,6022,3618,-5700,2665,4884,False,False
33.982,3352,7411,4485,-5479,2261,3941,False,False
34.025,2942,8874,5479,-5158,2681,3707,False,False
34.028,2430,10065,5810,-4099,3037,3064,False,False
34.075,1995,10950,6318,-4407,3224,1828,False,False
34.077,1508,11570,7110,-4535,3051,245,False,False
34.08,1610,12032,7901,-3979,4286,-794,False,False
34.123,5605,10867,7516,-2310,5685,-3605,False,False
34.127,8602,9133,8283,-1432,4956,-4131,False,False
34.172,12801,7991,6982,-127,5881,-3221,False,False
34.176,5785,11206,6878,1320,7927,-4379,False,False
34.178,561,12660,7647,406,6963,-9982,False,False
34.222,1457,9924,6601,940,6577,-12063,False,False
34.224,2763,7981,5402,1234,7746,-9127,False,False
34.269,-131,7113,4357,1291,7991,-7578,False,False
34.318,-2282,6195,4230,1298,8085,-7759,False,False
34.321,-2385,4633,3287,543,7425,-8811,False,False
34.324,663,2177,1400,338,7437,-9069,False,False
34.326,1201,1135,688,387,7827,-7028,False,False
34.366,-643,341,305,304,7340,-6059,False,False
34.369,-285,-56,-128,73,6967,-6337,False,False
34.415,-29,-725,-459,87,7229,-6015,False,False
34.417,-464,-1254,-868,146,7151,-5761,False,False
34.42,-1283,-1569,-765,651,7252,-4984,False,False
34.464,-3563,-2296,-918,1186,7207,-4617,False,False
34.466,-5022,-2263,-969,1030,7374,-4766,False,False
34.514,-6610,-2330,-1173,1170,7303,-4797,False,False
34.516,-8300,-2883,-791,2372,7416,-4676,False,False
34.518,-10195,-3255,-943,1140,7371,-3679,False,False
34.562,-13781,-2933,-357,962,8168,-2365,False,False
34.564,-15804,-2784,-26,678,8292,-2113,False,False
34.61,-17392,-2586,357,524,7941,-1948,False,False
34.613,-18826,-2586,587,183,7860,-1366,False,False
34.615,-20542,-2090,739,-373,8105,-74,False,False
34.659,-24255,-1370,1427,-2254,8873,307,False,False
34.661,-28736,-800,1094,1095,6373,-1480,False,False
34.707,-30555,1994,459,1183,7601,1641,False,False
34.71,-17236,15332,2319,-2934,2623,5150,False,False
34.712,-21233,-4124,1483,-3422,3763,3382,False,False
34.756,-18800,-5379,781,-3193,3151,7012,False,False
34.76,-16188,-5833,2737,-1718,1067,4991,False,False
34.805,-9991,-4621,-1784,-1488,1261,4878,False,False
34.807,-5330,-5637,3138,-2144,-287,5333,False,False
34.809,-2564,-5967,122,-1224,549,6434,False,False
34.855,-2897,-6116,2290,-38,2568,8398,False,False
34.858,-3102,-5686,1452,466,3320,8848,False,False
34.952,-4203,-5537,2217,412,2849,8768,False,False
34.955,-4203,-5049,2092,444,2421,8392,False,False
34.957,-3921,-4719,2522,676,1645,8102,False,False
34.959,-2743,-4116,2370,1379,1741,8126,False,False
35.0,-2001,-3231,1783,2328,2262,8780,False,False
35.003,-2487,-2702,1681,2070,1725,8441,False,False
35.049,-1335,-2561,1478,2342,930,8040,False,False
35.051,407,-2395,1553,2733,871,8062,False,False
35.055,791,-1742,1427,2949,1367,8424,False,False
35.097,381,-1725,1400,3112,1539,8236,False,False
35.1,202,-1618,1529,3176,1129,7816,False,False
35.147,1277,-1329,1631,3214,969,7876,False,False
35.149,1790,-949,1401,3459,1337,8057,False,False
35.152,1790,-717,1069,3433,1486,8017,False,False
35.195,1610,-601,1350,3486,1390,7864,False,False
